t,u,w,q,theta,alpha_deg,V_mps,de_cmd_deg,saturated
0.6550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.6950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.7950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.8950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9000,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9050,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9100,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9150,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9200,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9250,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9300,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9350,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9400,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9450,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9500,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9550,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9600,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9650,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9700,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9750,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9800,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9850,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9900,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
0.9950,0.0000,0.0000,0.0000,0.0000,7.9781,20.0000,-0.0000,0
1.0000,0.0000,0.0000,0.0085,0.0000,7.9781,20.0000,-0.8195,1
1.0050,-0.0004,0.0009,0.0191,0.0000,7.9781,20.0000,-1.0633,1
1.0100,-0.0014,0.0027,0.0323,0.0001,7.9806,19.9996,-1.3650,1
1.0150,-0.0029,0.0059,0.0486,0.0003,7.9860,19.9986,-1.7380,1
1.0200,-0.0053,0.0107,0.0689,0.0005,7.9951,19.9971,-2.1990,1
1.0250,-0.0087,0.0174,0.0940,0.0009,8.0087,19.9947,-2.7686,1
1.0300,-0.0133,0.0264,0.1250,0.0014,8.0279,19.9913,-3.4722,1
1.0350,-0.0195,0.0385,0.1635,0.0020,8.0539,19.9867,-4.3411,1
1.0400,-0.0275,0.0541,0.2109,0.0028,8.0883,19.9805,-5.4141,1
1.0450,-0.0379,0.0742,0.2696,0.0039,8.1331,19.9725,-6.7388,1
1.0500,-0.0512,0.0998,0.3422,0.0052,8.1907,19.9621,-8.3744,1
1.0550,-0.0681,0.1322,0.4318,0.0069,8.2640,19.9488,-10.3935,1
1.0600,-0.0894,0.1729,0.5424,0.0091,8.3567,19.9319,-12.8861,1
1.0650,-0.1161,0.2239,0.6691,0.0118,8.4734,19.9106,-15.0000,1
1.0700,-0.1491,0.2867,0.7890,0.0151,8.6197,19.8839,-15.0000,1
1.0750,-0.1880,0.3603,0.9023,0.0191,8.7995,19.8509,-15.0000,1
1.0800,-0.2326,0.4439,1.0095,0.0236,9.0104,19.8120,-15.0000,1
1.0850,-0.2825,0.5367,1.1108,0.0286,9.2499,19.7674,-15.0000,1
1.0900,-0.3374,0.6379,1.2065,0.0342,9.5156,19.7175,-15.0000,1
1.0950,-0.3971,0.7468,1.2969,0.0402,9.8055,19.6626,-15.0000,1
1.1000,-0.4613,0.8628,1.3823,0.0467,10.1175,19.6029,-15.0000,1
1.1050,-0.5298,0.9851,1.4628,0.0536,10.4497,19.5387,-15.0000,1
1.1100,-0.6023,1.1133,1.5389,0.0609,10.8003,19.4702,-15.0000,1
1.1150,-0.6787,1.2468,1.6107,0.0686,11.1676,19.3977,-15.0000,1
1.1200,-0.7587,1.3850,1.6784,0.0767,11.5499,19.3213,-15.0000,1
