dt_ms,abs_dt_ms
-4.9749,4.9749
-6.1834,6.1834
-1.2807,1.2807
-2.8434,2.8434
4.2855,4.2855
-4.1000,4.1000
-6.5238,6.5238
-4.5321,4.5321
0.8317,0.8317
4.0758,4.0758
-1.4807,1.4807
-5.3786,5.3786
-13.6624,13.6624
-4.0081,4.0081
-5.8743,5.8743
-0.2746,0.2746
5.1481,5.1481
-2.2193,2.2193
-10.8989,10.8989
1.8113,1.8113
8.3472,8.3472
-8.1869,8.1869
9.8664,9.8664
3.6114,3.6114
4.2346,4.2346
0.8070,0.8070
4.4421,4.4421
-12.1076,12.1076
5.5286,5.5286
0.4618,0.4618
3.7116,3.7116
0.2528,0.2528
-11.5157,11.5157
2.1177,2.1177
20.4946,20.4946
3.4600,3.4600
5.4456,5.4456
1.3265,1.3265
-5.0000,5.0000
1.3361,1.3361
-1.1133,1.1133
-1.2272,1.2272
-4.7919,4.7919
-5.7483,5.7483
-0.5692,0.5692
-7.1061,7.1061
-10.1749,10.1749
-6.5625,6.5625
-10.5780,10.5780
-7.7202,7.7202
-6.5504,6.5504
4.5665,4.5665
2.9649,2.9649
-8.8935,8.8935
3.2159,3.2159
4.0489,4.0489
-0.3198,0.3198
-2.3918,2.3918
1.0324,1.0324
9.1408,9.1408
-3.5278,3.5278
7.7633,7.7633
1.6251,1.6251
1.0880,1.0880
-4.4495,4.4495
1.7952,1.7952
0.6656,0.6656
4.5792,4.5792
-5.0583,5.0583
-0.9823,0.9823
-10.1489,10.1489
-10.3363,10.3363
-4.9072,4.9072
2.4939,2.4939
-12.7197,12.7197
-3.1333,3.1333
-5.3115,5.3115
6.4898,6.4898
1.6849,1.6849
4.6344,4.6344
4.6805,4.6805
-6.6549,6.6549
-0.7721,0.7721
7.6205,7.6205
-4.4652,4.4652
5.5841,5.5841
-1.1022,1.1022
-7.7108,7.7108
2.1488,2.1488
-5.8413,5.8413
-11.4726,11.4726
-2.2736,2.2736
8.2968,8.2968
-0.6923,0.6923
0.4790,0.4790
-6.6312,6.6312
7.9753,7.9753
-3.3383,3.3383
10.3460,10.3460
-1.1413,1.1413
4.0662,4.0662
-4.0046,4.0046
-3.3183,3.3183
4.0773,4.0773
-8.7620,8.7620
-2.4642,2.4642
12.2352,12.2352
-4.7507,4.7507
-1.4071,1.4071
-3.8000,3.8000
3.4478,3.4478
-2.0104,2.0104
-2.7134,2.7134
-5.6129,5.6129
4.1763,4.1763
2.1283,2.1283
2.9977,2.9977
0.8891,0.8891
2.6485,2.6485
-5.1110,5.1110
0.5036,0.5036
-5.7362,5.7362
-2.0395,2.0395
-0.8942,0.8942
-3.2238,3.2238
3.9058,3.9058
4.4924,4.4924
10.4475,10.4475
2.3328,2.3328
4.9354,4.9354
-2.9013,2.9013
-5.0431,5.0431
-3.0649,3.0649
10.7184,10.7184
4.5539,4.5539
9.9973,9.9973
2.3413,2.3413
4.4604,4.4604
-1.8207,1.8207
2.3166,2.3166
-3.3351,3.3351
-4.8256,4.8256
-3.9797,3.9797
-17.6469,17.6469
1.5396,1.5396
-4.9767,4.9767
-5.1177,5.1177
0.6805,0.6805
-1.5019,1.5019
2.4451,2.4451
-0.4074,0.4074
-0.9172,0.9172
3.4519,3.4519
4.6518,4.6518
-1.9153,1.9153
4.0996,4.0996
0.4501,0.4501
1.3400,1.3400
5.1848,5.1848
-1.8624,1.8624
1.5451,1.5451
8.2985,8.2985
0.5536,0.5536
-2.3529,2.3529
-3.5605,3.5605
1.6558,1.6558
-5.3371,5.3371
9.4485,9.4485
-5.0437,5.0437
4.8368,4.8368
14.2790,14.2790
-8.0121,8.0121
-2.5069,2.5069
-0.6973,0.6973
1.3169,1.3169
-1.5157,1.5157
-10.1115,10.1115
-7.5097,7.5097
-0.6880,0.6880
6.9955,6.9955
5.6350,5.6350
-5.0256,5.0256
-4.1547,4.1547
7.1468,7.1468
-12.8864,12.8864
1.1477,1.1477
2.8704,2.8704
-7.7177,7.7177
-1.0679,1.0679
-4.9479,4.9479
13.4044,13.4044
2.1701,2.1701
4.7994,4.7994
3.2967,3.2967
4.7811,4.7811
6.5080,6.5080
1.3038,1.3038
3.1422,3.1422
9.7005,9.7005
4.1362,4.1362
-1.4107,1.4107
2.6984,2.6984
3.8039,3.8039
-1.7528,1.7528
-3.8448,3.8448
1.2722,1.2722
1.4484,1.4484
0.5874,0.5874
8.0235,8.0235
4.7354,4.7354
-7.8418,7.8418
1.9739,1.9739
-7.8241,7.8241
-4.3051,4.3051
-4.7055,4.7055
3.7558,3.7558
-9.9502,9.9502
-2.7210,2.7210
-4.2159,4.2159
-7.8198,7.8198
-5.1130,5.1130
-9.2622,9.2622
8.5274,8.5274
0.8659,0.8659
-5.4528,5.4528
0.8921,0.8921
-1.1538,1.1538
-9.0234,9.0234
2.1600,2.1600
4.0050,4.0050
1.5444,1.5444
3.7143,3.7143
-5.4586,5.4586
5.1826,5.1826
1.9344,1.9344
-5.6831,5.6831
1.6779,1.6779
-5.4261,5.4261
-1.4144,1.4144
-9.0316,9.0316
-2.8157,2.8157
-9.9770,9.9770
-5.9306,5.9306
-10.0879,10.0879
7.8223,7.8223
-9.5480,9.5480
-0.5894,0.5894
-0.8850,0.8850
-4.6495,4.6495
-11.0628,11.0628
-2.1414,2.1414
-4.9827,4.9827
0.2059,0.2059
-2.6200,2.6200
-7.7997,7.7997
5.1443,5.1443
1.1757,1.1757
-0.2250,0.2250
0.3735,0.3735
-8.4694,8.4694
2.9572,2.9572
4.6981,4.6981
0.3750,0.3750
-0.5643,0.5643
2.4094,2.4094
2.2140,2.2140
2.6534,2.6534
0.0113,0.0113
9.9465,9.9465
-8.4944,8.4944
10.0031,10.0031
-1.7899,1.7899
1.0807,1.0807
-4.8378,4.8378
1.3005,1.3005
-5.5076,5.5076
-1.4945,1.4945
14.7630,14.7630
-8.3827,8.3827
-0.3659,0.3659
1.5646,1.5646
-5.0999,5.0999
-3.0195,3.0195
-0.9116,0.9116
-2.8112,2.8112
-2.7222,2.7222
0.5252,0.5252
1.3434,1.3434
-8.7534,8.7534
1.0319,1.0319
12.0702,12.0702
-2.9121,2.9121
1.4853,1.4853
-0.6261,0.6261
-0.2868,0.2868
11.5571,11.5571
-1.6728,1.6728
-4.9053,4.9053
-1.3994,1.3994
-10.5731,10.5731
6.1790,6.1790
-2.2892,2.2892
-8.9521,8.9521
12.0669,12.0669
-4.2780,4.2780
-0.7905,0.7905
2.3334,2.3334
12.7675,12.7675
-4.4169,4.4169
7.1011,7.1011
1.3008,1.3008
1.8290,1.8290
-0.3842,0.3842
4.8039,4.8039
-10.8089,10.8089
-1.1689,1.1689
-8.2522,8.2522
-0.8285,0.8285
2.5450,2.5450
0.5596,0.5596
-0.3803,0.3803
6.9849,6.9849
-1.8279,1.8279
-4.8304,4.8304
1.0675,1.0675
9.7300,9.7300
