alpha_deg,y,chord,cl_section,span_load_cl_c,alpha_ind_deg
-1.000,0.6387,1.29461,-0.07244,-0.09378,0.4884
-1.000,0.7353,1.26750,-0.08176,-0.10363,0.5787
-1.000,0.8311,1.24059,-0.09154,-0.11356,0.6629
-1.000,0.9261,1.21392,-0.10173,-0.12350,0.7414
-1.000,1.0202,1.18750,-0.11231,-0.13337,0.8143
-1.000,1.1133,1.16136,-0.12324,-0.14312,0.8818
-1.000,1.2053,1.13554,-0.13446,-0.15269,0.9442
-1.000,1.2961,1.11004,-0.14595,-0.16201,1.0017
-1.000,1.3856,1.08491,-0.15765,-0.17104,1.0546
-1.000,1.4738,1.06016,-0.16954,-0.17974,1.1030
-1.000,1.5605,1.03582,-0.18156,-0.18806,1.1474
-1.000,1.6457,1.01191,-0.19368,-0.19598,1.1878
-1.000,1.7292,0.98845,-0.20584,-0.20346,1.2246
-1.000,1.8110,0.96548,-0.21801,-0.21048,1.2582
-1.000,1.8911,0.94300,-0.23014,-0.21702,1.2887
-1.000,1.9693,0.92106,-0.24218,-0.22306,1.3166
-1.000,2.0455,0.89965,-0.25408,-0.22858,1.3422
-1.000,2.1197,0.87882,-0.26579,-0.23358,1.3659
-1.000,2.1919,0.85857,-0.27726,-0.23805,1.3880
-1.000,2.2618,0.83892,-0.28843,-0.24197,1.4089
-1.000,2.3296,0.81991,-0.29924,-0.24535,1.4293
-1.000,2.3950,0.80154,-0.30964,-0.24819,1.4494
-1.000,2.4581,0.78383,-0.31955,-0.25047,1.4699
-1.000,2.5187,0.76681,-0.32890,-0.25220,1.4915
-1.000,2.5769,0.75048,-0.33762,-0.25338,1.5146
-1.000,2.6325,0.73486,-0.34562,-0.25398,1.5401
-1.000,2.6855,0.71998,-0.35282,-0.25402,1.5687
-1.000,2.7359,0.70584,-0.35911,-0.25347,1.6014
-1.000,2.7835,0.69246,-0.36438,-0.25232,1.6392
-1.000,2.8284,0.67985,-0.36851,-0.25053,1.6833
-1.000,2.8706,0.66802,-0.37136,-0.24808,1.7349
-1.000,2.9099,0.65699,-0.37277,-0.24491,1.7955
-1.000,2.9463,0.64676,-0.37256,-0.24096,1.8670
-1.000,2.9798,0.63735,-0.37051,-0.23615,1.9514
-1.000,3.0104,0.62877,-0.36638,-0.23037,2.0512
-1.000,3.0380,0.62102,-0.35986,-0.22348,2.1694
-1.000,3.0626,0.61411,-0.35058,-0.21529,2.3095
-1.000,3.0842,0.60805,-0.33808,-0.20557,2.4762
-1.000,3.1027,0.60285,-0.32177,-0.19398,2.6755
-1.000,3.1182,0.59850,-0.30086,-0.18007,2.9152
-1.000,3.1306,0.59502,-0.27424,-0.16318,3.2064
-1.000,3.1399,0.59240,-0.24027,-0.14234,3.5656
-1.000,3.1461,0.59066,-0.19656,-0.11610,4.0168
-1.000,3.1492,0.58979,-0.14315,-0.08443,4.5596
0.000,-3.1492,0.58979,-0.11089,-0.06540,3.8839
0.000,-3.1461,0.59066,-0.15225,-0.08993,3.4622
0.000,-3.1399,0.59240,-0.18604,-0.11021,3.1108
0.000,-3.1306,0.59502,-0.21221,-0.12627,2.8299
0.000,-3.1182,0.59850,-0.23260,-0.13921,2.6013
0.000,-3.1027,0.60285,-0.24848,-0.14979,2.4123
0.000,-3.0842,0.60805,-0.26068,-0.15850,2.2543
0.000,-3.0626,0.61411,-0.26981,-0.16570,2.1214
0.000,-3.0380,0.62102,-0.27635,-0.17162,2.0088
0.000,-3.0104,0.62877,-0.28063,-0.17645,1.9132
0.000,-2.9798,0.63735,-0.28295,-0.18034,1.8316
0.000,-2.9463,0.64676,-0.28355,-0.18339,1.7617
0.000,-2.9099,0.65699,-0.28262,-0.18568,1.7017
0.000,-2.8706,0.66802,-0.28034,-0.18727,1.6498
0.000,-2.8284,0.67985,-0.27685,-0.18821,1.6047
0.000,-2.7835,0.69246,-0.27227,-0.18854,1.5651
0.000,-2.7359,0.70584,-0.26674,-0.18827,1.5299
0.000,-2.6855,0.71998,-0.26034,-0.18744,1.4983
0.000,-2.6325,0.73486,-0.25318,-0.18605,1.4693
0.000,-2.5769,0.75048,-0.24533,-0.18412,1.4422
0.000,-2.5187,0.76681,-0.23689,-0.18164,1.4164
0.000,-2.4581,0.78383,-0.22791,-0.17864,1.3911
0.000,-2.3950,0.80154,-0.21847,-0.17511,1.3659
0.000,-2.3296,0.81991,-0.20863,-0.17106,1.3401
0.000,-2.2618,0.83892,-0.19845,-0.16649,1.3134
0.000,-2.1919,0.85857,-0.18800,-0.16141,1.2852
0.000,-2.1197,0.87882,-0.17732,-0.15583,1.2552
0.000,-2.0455,0.89965,-0.16647,-0.14977,1.2229
0.000,-1.9693,0.92106,-0.15550,-0.14323,1.1879
0.000,-1.8911,0.94300,-0.14447,-0.13623,1.1499
0.000,-1.8110,0.96548,-0.13341,-0.12880,1.1086
0.000,-1.7292,0.98845,-0.12238,-0.12097,1.0636
0.000,-1.6457,1.01191,-0.11143,-0.11275,1.0145
0.000,-1.5605,1.03582,-0.10060,-0.10420,0.9612
0.000,-1.4738,1.06016,-0.08994,-0.09535,0.9032
0.000,-1.3856,1.08491,-0.07949,-0.08624,0.8403
0.000,-1.2961,1.11004,-0.06931,-0.07693,0.7721
0.000,-1.2053,1.13554,-0.05944,-0.06749,0.6984
0.000,-1.1133,1.16136,-0.04992,-0.05798,0.6188
0.000,-1.0202,1.18750,-0.04082,-0.04847,0.5329
0.000,-0.9261,1.21392,-0.03218,-0.03906,0.4406
0.000,-0.8311,1.24059,-0.02405,-0.02984,0.3412
0.000,-0.7353,1.26750,-0.01651,-0.02092,0.2346
0.000,-0.6387,1.29461,-0.00960,-0.01243,0.1201
0.000,-0.5415,1.32190,-0.00341,-0.00450,-0.0028
0.000,-0.4438,1.34933,0.00198,0.00268,-0.1348
0.000,-0.3456,1.37689,0.00646,0.00890,-0.2767
0.000,-0.2471,1.40455,0.00988,0.01388,-0.4300
0.000,-0.1484,1.43227,0.01201,0.01721,-0.5966
0.000,-0.0495,1.46003,0.01238,0.01808,-0.7813
0.000,0.0495,1.46003,0.01238,0.01808,-0.7813
